date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:28	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/process_payment.php	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/process_payment.php	(from https://vara.navratrisale.org.in/payment.html)
16:58:28	1575/1575	---M-Z	200	added ('OK')	text/html	etag:%22627-66f7e3ca-4d50332ca213123;gz%22	https://vara.navratrisale.org.in/payment_success.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/payment_success.html	(from https://vara.navratrisale.org.in/payment.html)
16:58:28	60010/60010	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ea6a-66f7e3ca-7b0d2d409476c77f;gz%22	https://vara.navratrisale.org.in/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/assets/js/bootstrap.min.js	(from https://vara.navratrisale.org.in/payment.html)
16:58:29	3381/3381	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d35-66f7e3ca-1e9e239949a527a6;gz%22	https://vara.navratrisale.org.in/assets/js/jquery.lazyload.min.js	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/assets/js/jquery.lazyload.min.js	(from https://vara.navratrisale.org.in/payment.html)
16:58:29	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/index-2.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/index-2.html	(from https://vara.navratrisale.org.in/assets/css/bootstrap.min.css)
16:58:29	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/fonts/Mier_B02-Bold.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/fonts/Mier_B02-Bold.html	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:30	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/fonts/Mier_B02-Bold-2.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/fonts/Mier_B02-Bold-2.html	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:30	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/fonts/Mier_B02-Bold-3.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/fonts/Mier_B02-Bold-3.html	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:30	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/fonts/Mier_B02-Book.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/fonts/Mier_B02-Book.html	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:30	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/fonts/Mier_B02-Book-2.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/fonts/Mier_B02-Book-2.html	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:31	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/fonts/Mier_B02-Demi.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/fonts/Mier_B02-Demi.html	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:31	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/fonts/Mier_B02-Demi-2.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/fonts/Mier_B02-Demi-2.html	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:31	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/fonts/Mier_B02-Demi-3.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/fonts/Mier_B02-Demi-3.html	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:31	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/assets/css/..assets/images/search.html	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/assets/css/..assets/images/search.html	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:32	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/www.boat-lifestyle.com/cdn/shop/files/arrow665b.png?v=1679570736	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/www.boat-lifestyle.com/cdn/shop/files/arrow665b665b.png	(from https://vara.navratrisale.org.in/assets/css/main1.css)
16:58:32	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-1b6205dd88d68dcc;gz%22	https://vara.navratrisale.org.in/popper.js	C:/My%20Web%20Sites/jiyobackup/vara.navratrisale.org.in/popper.js	(from https://vara.navratrisale.org.in/assets/js/bootstrap.min.js)
